NUTTAB index,name,quantity,quantity_unit,notes
"F006021","medium",151.0,"g","From AUSNUT 1999 record 06C10059 Nectarine, raw"
"F006277","medium",131.0,"g","From AUSNUT 1999 record 06B10016 orange, medium, 6-8cm diameter"
"F006276","medium",162.0,"g","Manually weighed by FSANZ in 2011. Note - AUSNUT value was 131.00"
"F006279","medium",131.0,"g","From AUSNUT2007 record 06B10056  Orange, valencia, peeled, raw"
"F006333","medium",18.0,"g","From AUSNUT 2007 record 06D10321 Passionfruit"
"F006573","medium",145.0,"g","From AUSNUT 2007 record 06C10146 Peach, fresh, unpeeled, raw"
"F006604","medium",190.0,"g","From NUTTAB 2010 record 06D10447 Pear, nashi, unpeeled, raw"
"F006628","medium",76.0,"g","From NUTTAB 2010 record 06D10410 Persimmon, peeled, raw"
"F006708","slice",40.0,"g","AUSNUT 2007 record 06D10330 pineapple, canned, drained"
"F006832","medium",66.0,"g","From AUSNUT 2007 record 06C10158 unpeeled, raw, not further specified"
"F006826","all sizes",31.0,"g","AUSNUT 2007 record 06C10155 Plum, dark, canned in syrup, drained"
"F006842","all sizes",240.0,"g","From AUSNUT 2007 record 06D10332 Pomegranate, peeled, raw"
"F007457","medium",86.0,"g","From NUTTAB 2010 record 06D10417 Prickly pear, peeled, raw"
"F007494","medium",8.0,"g","From AUSNUT 2007 record 06C10157 Prune (dried plum)"
"F007591","small/medium",463.0,"g","From NUTTAB 2010 record 06D10449 Quince, peeled, raw"
"F007610","mini/snack box",40.0,"g","From 06D10519 Sultana"
"F007612","medium",16.0,"g","From NUTTAB 2010 record 06D10409 Rambutan, peeled, raw"
"F008952","medium",12.0,"g","Victorian Strawberry Growers 2006"
"F008983","mini/snack box",40.0,"g","Based on product information available in 2011"
"F009080","all sizes",71.0,"g","From NUTTAB 2010 record 06D10412 Tamarillo, peeled, raw"
"F009087","small/medium",115.0,"g","From AUSNUT 2007 record 06B10049 Mandarin (tangelo), peeled, raw"
"F009088","small/medium",86.0,"g","From AUSNUT 2007 record 06B10048 Mandarin (tangor), peeled, raw"
"F006830","medium",1.6,"g","Manual weighing by FSANZ in 2012"
"F002755","nugget",20.0,"g","Average weight of 4 brands commonly purchased from supermarkets"
"F002752","nugget, all brands",18.0,"g","Average of KFC and hungry jacks chicken nuggets"
"F002752","strip",38.0,"g","Based on product information available for KFC chicken strips in 2013"
"F002751","tender, all brands",40.0,"g","Based on product information available on the Oporto's website for chicken tenders"
"F000228","rasher",64.0,"g","Manual weighing by FSANZ in 2012"
"F000227","rasher",42.0,"g","Manual weighing by FSANZ in 2012"
"F000231","rasher",22.0,"g","Manual weighing by FSANZ in 2012"
"F001322","can",425.0,"g","Based on products available in 2017"
"F004025","cocktail size",25.0,"g","Based on ~20 frankfurts/500 g pack of Black & Gold cocktail franks available in 2013"
"F004025","standard",57.0,"g","From AUSNUT 2007 record 08E20083 Frankfurt, cooked"
"F004299","regular slice",25.0,"g","Manually weighed by FSANZ in 2013. Included a deli sliced ham (not shaved)"
"F006675","can",425.0,"g","Based on products available in 2017"
"F007459","regular slice",17.4,"g","Collected as part of the NATSINPAS analytical program."
"F008112","standard",86.0,"g","Meat & Livestock Australia, 2015"
"F008106","standard",79.0,"g","Meat & Livestock Australia, 2015"
"F008107","standard",77.0,"g","Meat & Livestock Australia, 2015"
"F008126","sausage",147.0,"g","Based on 8 chorizo samples purchased for analysis in 2013."
"F008125","sausage",123.0,"g","Calculated from raw weight assuming -10.6% weight change factor based on data for beef sausages from MLA (2015)"
"F009450","can",425.0,"g","Based on products available in 2017"
"F009452","can",425.0,"g","Based on products available in 2017"
"F008233","medium fillet",67.0,"g","Based on the size of frozen fish fillets available in May 2013 with a weight change factor applied."
"F003950","medium fillet",67.0,"g","Based on the size of frozen fish fillets available in May 2013 with a weight change factor applied"
"F003954","medium fillet",67.0,"g","Based on the size of frozen fish fillets available in May 2013 with a weight change factor applied"
"F003907","fillet",250.0,"g","Manually weighed by FSANZ in June 2012"
"F003897","fish finger",27.0,"g","Manually weighed by FSANZ in 2013."
"F003896","fish finger",20.0,"g","Calculated from raw weight assuming -12% weight change factor"
"F007864","slice",25.0,"g","Average of slices within commercial packages of various sizes (20 g per slice for small packs Huon & Ocean blue; 25 g for Coles' large pack, 41 g for Tassel 500 g pack, 25 g average for 200 g pack)"
"F009285","can, single serve",70.0,"g","Average of various brands calculated by FSANZ in 2013"
"F007193","regular packet",50.0,"g","Average of 2 common brands available in 2011 (Smiths and Thins)"
"F007193","small packet, multipack",21.0,"g","Average of 5 common brands available in 2011 (Kettle, Red Rock Deli, Smiths, Thins, Woolworths)"
"F007201","regular packet",45.0,"g","Average of 2 common brands available in 2011 (Smiths and Thins)"
"F007201","small packet, multipack",18.5,"g","Average of 4 common brands available in 2011 (Kettle, Smiths, Thins, Woolworths)"
"F007204","packet",18.5,"g","Based on product information available for French Fries in 2013"
"F009073","regular",11.0,"g","Based on product information available for Old El Paso website in May 2012."
"F000279","regular",55.0,"g","Based on product information available on the Cadbury for Cherry ripe bars in 2018."
"F000285","regular",45.0,"g","Based on product information available on the Mars website on Bounty bars in 2018."
"F000296","regular",50.0,"g","Based on product information available on the Cadbury website for Crunchy bars in 2018."
"F000348","regular",53.0,"g","Based on product information available on the Mars website for Mars bars in 2018."
"F002929","individual bar",50.0,"g","Based on product information available on the Woolworths website in 2018"
"F002929","frog",15.0,"g","Based on product information available on the Cadbury website for Freddo frogs in 2018"
"F002934","frog/koala",20.0,"g","Based on product information available for Freddo frogs and Caramello Koalas in 2013"
"F002937","bar, regular",50.0,"g","Based on product information available on the woolworths website in 2018"
"F002939","regular bar",50.0,"g","Based on product information available on the Woolworths website in 2018"
"F002946","regular bar",50.0,"g","Based on product information available on the Woolworths website in 2018"
"F003100","packet, single serve",50.0,"g","Based on product information available on the Woolworths website in 2018"
"F004600","packet, single serve",14.0,"g","Based on product information available in 2011."
"F004607","packet, single serve",14.0,"g","Based on product information available in 2011."
"F004604","packet, single serve",14.0,"g","Based on product information available in 2011."
"F005421","packet, single serve",14.0,"g","Based on product information available in 2011"
"F008777","packet, single serve",20.0,"g","Based on the serve size information on product label available in 2011"
"F004380","packet, single serve",14.0,"g","Based on product information available in 2011"
"F008969","sachet, single serve",3.0,"g","Mean of 2 brands"
"F008973","sachet, single serve",3.0,"g","From 12A10073 sugar, white, granulated or lump"
"F004615","individual tub",125.0,"g","Based on products information available in 2013"
"F005213","piece",15.0,"g","Based on product information available in 2011. Average of 6 brands"
"F005215","log",40.0,"g","Based on label data for Capricorn Licorice Choc Logs available in 2017."
"F000144","medium",133.0,"g","AUSNUT 2007 record 13A11017 Artichoke, globe, raw"
"F000142","heart/item",27.0,"g","AUSNUT 2007 record 13A11018 Artichoke, globe, boiled"
"F000141","heart/item",40.0,"g","From NUTTAB 2010 record 13A11510 Artichoke heart, canned in brine, drained"
"F000155","spear",16.0,"g","AUSNUT 2007 record 13A11021 Asparagus, raw"
"F000151","spear",11.0,"g","AUSNUT 2007 record 13A11022 Asparagus, boiled"
"F000149","spear",13.0,"g","AUSNUT 2007 record 13A11023 Asparagus, canned"
"F000162","medium",159.0,"g","Supermarket search undertaken by FSANZ in 2011. Assumes 72% edible portion."
"F000396","bunch of leaves",40.0,"g","Manually weighed by FSANZ in 2013."
"F001015","small/medium",82.0,"g","From AUSNUT 2007 record 13A11038 Beetroot, fresh, peeled, raw"
"F001013","medium",67.0,"g","Calculated from the raw weight assuming -18% weight change factor"
"F001014","medium",76.0,"g","Calculated from the raw weight assuming -7% weight change factor"
"F001010","medium slice",19.0,"g","Manual weighing of slices of canned beetroot by FSANZ in 2013."
"F001301","bok choy",120.0,"g","Supermarket search undertaken by FSANZ in 2012. Assumes 80% edible portion."
"F001300","bok choy",84.0,"g","Calculated from raw weight assuming -30% weight change factor"
"F001302","bok choy",115.0,"g","Calculated from raw weight assuming -4% weight change factor"
"F001905","medium floret/piece",20.0,"g","Manual weighing of medium fresh broccoli flowerets by FSANZ in 2013"
"F001904","medium floret/piece",19.2,"g","Calculated from raw weight assuming -4% weight change factor"
"F001900","medium floret/piece",19.2,"g","Calculated from raw weight assuming -4% weight change factor"
"F001899","medium floret/piece",16.4,"g","Calculated from raw weight assuming -18% weight change factor"
"F001909","medium floret/stalk",29.0,"g","Manual weighing by FSANZ in 2013."
"F001908","medium floret/stalk",19.1,"g","Calculated from raw weight assuming -4% weight change factor"
"F001914","medium sprout",19.0,"g","From AUSNUT 2007 record 13A11043 Brussel sprout, raw"
"F001913","medium sprout",21.0,"g","From AUSNUT 2007 record 13A11044 Brussel sprout, boiled"
"F002239","medium",278.0,"g","FSANZ 2011. Student research project."
"F002238","medium",250.0,"g","Calculated from raw weight assuming -10% weight change factor"
"F002247","medium",244.0,"g","Calculated from raw weight assuming -10% weight change factor"
"F002246","medium",271.0,"g","FSANZ 2011. Student research project."
"F002266","medium",18.0,"g","From NUTTAB 2010 record 13A11424 Carrot, baby, raw"
"F002265","medium",16.7,"g","Calculated from raw weight assuming -7% weight change factor"
"F002263","medium",16.6,"g","Calculated from raw weight assuming -8% weight change factor"
"F002276","small",74.0,"g","Supermarket search undertaken by FSANZ in 2011"
"F002276","medium",129.0,"g","FSANZ 2011. Student research project."
"F002274","medium",106.0,"g","Calculated from raw weight assuming -18% weight change factor"
"F002275","medium",120.0,"g","Calculated from raw weight assuming -7% weight change factor"
"F002378","medium",36.0,"g","Manual weighing of medium fresh cauliflower flowerets by FSANZ in 2013"
"F002377","medium",35.0,"g","Calculated from raw weight assuming -4% weight change factor"
"F002384","medium",254.0,"g","Manually weighed by FSANZ in 2012."
"F002390","medium",40.0,"g","AUSNUT 2007 record 13A11078 Celery raw"
"F002389","medium",36.0,"g","AUSNUT 2007 record 13A11079 Celery, stir-fried without oil"
"F002896","medium",15.0,"g","Supermarket scan undertaken by FSANZ in 2011. Edible portion 95%"
"F002894","medium",12.0,"g","AUSNUT 2007 record 13A11085 Chilli (chili), red, stir-fried without oil"
"F002901","medium",15.0,"g","Supermarket scan undertaken by FSANZ in 2011. Edible portion 95%"
"F002900","medium",12.0,"g","AUSNUT 2007 record 13A11085 Chilli (chili), red, stir-fried without oil"
"F002949","medium",168.0,"g","AUSNUT 2007 record 13A11087 Choko, peeled, raw"
"F002948","medium",141.0,"g","Calculated from raw weight assuming -16% weight change factor"
"F003192","bunch of leaves",40.0,"g","Manually weighed by FSANZ in 2013."
"F003209","medium ear",163.0,"g","Supermarket search undertaken by FSANZ in 2011. Assumes 52% edible portion."
"F003200","cobette",52.0,"g","Assumes 1 cob = 3 cobettes."
"F003200","medium ear",156.0,"g","Calculated from raw weight assuming -4% weight change factor"
"F003321","medium",174.0,"g","FSANZ 2011. Student research project. Edible portion 90%"
"F003324","medium",291.0,"g","From NUTTAB 2010 record 13A11436 Cucumber, telegraph"
"F003761","medium",459.0,"g","Assumes mid point between small and large eggplant. Assumes 90% edible portion."
"F003760","medium",427.0,"g","Calculated from raw weight assuming -7% weight change factor"
"F003759","medium",330.0,"g","Calculated from raw weight assuming -28% weight change factor. Mid-point between weight change factor for baked v grilled eggplant"
"F004206","regular whole",25.0,"g","From AUSNUT 2007 record 10B10052 Gherkin, pickled, commercial"
"F005164","medium",195.0,"g","Assumes mid point between small and large leek. Assumes 65% edible portion."
"F005163","medium",162.0,"g","Calculated from raw weight assuming -17% weight change factor"
"F005162","medium",176.0,"g","Calculated from raw weight assuming -10% weight change factor"
"F005192","medium head",570.0,"g","FSANZ 2011. Student research project."
"F005700","bunch of leaves",40.0,"g","Manually weighed by FSANZ in 2013."
"F005946","medium",35.0,"g","FSANZ student research project. Australian Mushroom Growers Association."
"F005945","medium",18.6,"g","Calculated from raw weight assuming -47% weight change factor"
"F005949","medium",35.0,"g","Australian Mushroom Growers Association."
"F005948","medium",18.6,"g","Calculated from raw weight assuming -47% weight change factor"
"F006194","whole",10.6,"g","USDA release 25 record Okra cooked"
"F006198","medium whole",4.0,"g","From AUSNUT 2007 record 10B10054 Olive, green or black, drained"
"F006225","medium",142.0,"g","Supermarket search undertaken by FSANZ in 2011."
"F006243","medium",104.0,"g","Assumes the mid-point between small and large. Assumes 80% edible portion."
"F006250","medium",15.0,"g","From AUSNUT 2007 record 13A11121 Onion, spring, raw"
"F006249","medium",9.0,"g","Calculated from raw weight assuming -38% weight change factor"
"F006328","medium",72.0,"g","Based on size of the small and medium measures created for AUSNUT 1999"
"F006326","medium",67.0,"g","Based on size of the small and medium measures created for AUSNUT 1999"
"F006327","medium",67.0,"g","Based on size of the small and medium measures created for AUSNUT 1999"
"F007235","medium",117.0,"g","Based on product information from Red rooster website available in 2018"
"F007236","medium",175.0,"g","Based on product information from Nandos (2010) and Oporto (2018)."
"F007238","takeaway medium/regular",200.0,"g","Manual weighing of medium chip serves undertaken by FSANZ in 2012."
"F007242","takeaway medium/regular",200.0,"g","Manual weighing of medium chip serves undertaken by FSANZ in 2012."
"F007247","medium",175.0,"g","Supermarket search undertaken by FSANZ in 2011. Assumes 85% edible portion"
"F007244","medium",116.0,"g","Calculated from raw weight assuming -34% weight change factor"
"F007245","medium",172.0,"g","Calculated from raw weight assuming -2% weight change factor"
"F007254","medium",137.0,"g","Supermarket search undertaken by FSANZ in 2011. Assumes 85% edible portion"
"F007250","medium",91.0,"g","Calculated from raw weight assuming -34% weight change factor"
"F007252","medium",134.0,"g","Calculated from raw weight assuming -2% weight change factor"
"F007308","medium",69.0,"g","Supermarket search undertaken by FSANZ in 2011. Assumes 85% edible portion"
"F007305","medium",46.0,"g","Calculated from raw weight assuming -34% weight change factor"
"F007306","medium",68.0,"g","Calculated from raw weight assuming -2% weight change factor"
"F007325","medium",175.0,"g","Supermarket search undertaken by FSANZ in 2011. Assumes 85% edible portion"
"F007314","medium",116.0,"g","Calculated from raw weight assuming -34% weight change factor"
"F007320","medium",172.0,"g","Calculated from raw weight assuming -2% weight change factor"
"F007361","medium",240.0,"g","Supermarket search undertaken by FSANZ in 2011. Assumes 85% edible portion"
"F007358","medium",158.0,"g","Calculated from raw weight assuming -34% weight change factor"
"F007359","medium",235.0,"g","Calculated from raw weight assuming -2% weight change factor"
"F007368","medium",240.0,"g","Supermarket search undertaken by FSANZ in 2011. Assumes 85% edible portion"
"F007364","medium",158.0,"g","Calculated from raw weight assuming -34% weight change factor"
"F007366","medium",235.0,"g","Calculated from raw weight assuming -2% weight change factor"
"F007386","medium",245.0,"g","Supermarket search undertaken by FSANZ in 2011. Assumes 85% edible portion"
"F007383","medium",116.0,"g","Calculated from raw weight assuming -34% weight change factor"
"F007384","medium",277.0,"g","Calculated from raw weight assuming -2% weight change factor"
"F007269","medium",104.0,"g","Based on product information from McDonalds website available in 2018"
"F007606","medium",20.0,"g","From AUSNUT 2007 record 13A11236 Radish, white skinned, peeled, raw"
"F007608","medium",20.0,"g","From AUSNUT 2007 record 13A11236 Radish, white skinned, peeled, raw"
"F008227","medium",5.5,"g","From AUSNUT 2007 record 13A11185 Shallot, raw"
"F008226","medium",6.0,"g","From AUSNUT 2007 record 13A11303 Shallot, stir-fried"
"F008373","medium",3.3,"g","From AUSNUT 2007 record 13A11188 Snow pea, raw"
"F008372","medium",4.0,"g","From AUSNUT 2007 record 13A11190 Snow pea, stir-fried"
"F008371","medium",4.0,"g","From AUSNUT 2007 record 13A11190 Snow pea, stir-fried"
"F008811","medium",57.0,"g","Assumes the mid-point between small and large. Assumes 100% edible portion."
"F008810","medium",48.0,"g","Calculated from raw weight assuming -16% weight change factor"
"F009021","medium",276.0,"g","Assumes the mid-point between small and large. Assumes 89% edible portion."
"F009020","medium",257.0,"g","Calculated from raw weight assuming -7% weight change factor"
"F009033","medium",344.0,"g","Calculated from raw weight assuming -18% weight change factor"
"F009034","medium",390.0,"g","Calculated from raw weight assuming -7% weight change factor"
"F009190","medium",8.0,"g","AUSNUT 2007 record 13A11216 Tomato, cherry"
"F009193","medium",152.0,"g","FSANZ 2011. Student research project."
"F009211","medium",124.0,"g","Manual weighing of 5 medium, trimmed roma tomatoes by FSANZ in 2012"
"F009340","regular",122.0,"g","From AUSNUT 2007 record 13A11225 Turnip, white, peeled, raw"
"F009339","regular",116.0,"g","From AUSNUT 2007 record 13A11226 Turnip, white, peeled, boiled"
"F009775","medium",195.0,"g","Supermarket search undertaken by FSANZ in 2011. Assumes 93% edible portion."
"F009774","medium",137.0,"g","Calculated from raw weight assuming -30% weight change factor"
"F009773","medium",164.0,"g","Calculated from raw weight assuming -16% weight change factor"
"F009766","medium",195.0,"g","From green zucchini"
"F009765","medium",195.0,"g","From green zucchini"
